date,open,high,low,close,volume
2022-11-30,3836.56,3867.659,3833.827,3853.037,15751140000
2022-12-01,3921.295,3944.565,3893.872,3894.769,16996458500
2022-12-02,3886.403,3898.115,3865.884,3870.948,11678635000
2022-12-05,3907.638,3947.476,3900.674,3946.876,20174722100
2022-12-06,3929.006,3988.901,3922.997,3968.198,15510832300
2022-12-07,3956.672,3999.586,3944.183,3958.441,14300135600
2022-12-08,3953.199,3971.493,3941.297,3959.18,11519998600
2022-12-09,3961.992,4003.318,3944.44,3998.244,15377495400
2022-12-12,3976.172,3983.433,3950.32,3953.443,12593536800
2022-12-13,3953.548,3964.396,3939.98,3945.681,10099410000
2022-12-14,3952.789,3972.738,3935.767,3954.886,9852800600
2022-12-15,3954.672,3963.5,3926.5,3951.989,8886472500
2022-12-16,3931.232,3960.471,3929.487,3954.227,9317856700
2022-12-19,3952.771,3966.568,3878.437,3893.221,10691907500
2022-12-20,3881.226,3881.273,3811.476,3829.017,8309682200
2022-12-21,3839.001,3853.727,3821.404,3830.538,6483921500
2022-12-22,3859.204,3882.126,3821.342,3836.028,8370517300
2022-12-23,3811.616,3848.344,3805.949,3828.219,6527814800
2022-12-26,3830.568,3856.807,3827.519,3843.489,7300571200
2022-12-27,3860.905,3891.85,3856.58,3887.854,7751535000
2022-12-28,3874.913,3884.721,3854.941,3871.264,8442465600
2022-12-29,3854.236,3868.293,3838.48,3856.701,7939481500
2022-12-30,3873.936,3887.553,3868.757,3871.634,7877327200
2023-01-03,3864.836,3893.99,3831.245,3887.899,11505187500
2023-01-04,3886.25,3905.903,3873.655,3892.948,11066074300
2023-01-05,3913.493,3974.875,3912.26,3968.578,11650239500
2023-01-06,3969.549,4000.414,3966.47,3980.889,11095303800
2023-01-09,3998.528,4023.09,3990.707,4013.12,11705442500
2023-01-10,4014.713,4030.457,4002.23,4017.474,10175114100
2023-01-11,4019.884,4043.399,4008.015,4010.031,9999788900
2023-01-12,4021.755,4030.288,4003.508,4017.869,9055262700
2023-01-13,4032.291,4074.377,4027.886,4074.377,9587189600
2023-01-16,4077.879,4177.104,4076.639,4137.964,15139545500
2023-01-17,4138.843,4148.584,4118.157,4137.242,9547904000
2023-01-18,4140.102,4151.458,4125.769,4130.314,8420064500
2023-01-19,4125.577,4156.008,4105.98,4156.008,9460839800
2023-01-20,4166.844,4189.831,4161.67,4181.527,12355380900
2023-01-30,4267.625,4268.152,4197.86,4201.345,16460706400
2023-01-31,4200.581,4212.735,4153.048,4156.858,12455083500
2023-02-01,4170.132,4195.933,4137.766,4195.933,14100895400
2023-02-02,4207.412,4207.412,4170.557,4181.149,13382373600
2023-02-03,4162.026,4162.026,4103.165,4141.632,11704122100
2023-02-06,4103.831,4105.945,4065.222,4086.878,11019271700
2023-02-07,4098.312,4107.344,4077.962,4094.234,9136007200
2023-02-08,4099.857,4111.475,4072.647,4076.141,8478609900
2023-02-09,4067.563,4130.857,4064.749,4130.857,10228996100
2023-02-10,4124.099,4125.289,4092.347,4106.31,9671673300
2023-02-13,4098.88,4146.45,4092.273,4143.574,12889257700
2023-02-14,4151.247,4152.049,4125.258,4145.29,10249989000
2023-02-15,4146.855,4153.716,4115.967,4123.689,12166450800
2023-02-16,4125.409,4167.9,4068.859,4093.488,15931058500
2023-02-17,4086.224,4104.64,4032.929,4034.507,11614258900
2023-02-20,4039.962,4134.862,4035.476,4133.49,16179448100
2023-02-21,4130.063,4151.799,4116.272,4144.354,14577617300
2023-02-22,4118.967,4134.876,4101.86,4106.951,10429029500
2023-02-23,4106.214,4132.39,4088.207,4103.646,10356490600
2023-02-24,4100.99,4102.609,4048.237,4061.046,10098942500
2023-02-27,4040.457,4067.03,4034.524,4043.844,9378763000
2023-02-28,4058.13,4074.264,4026.448,4069.459,11032359100
2023-03-01,4068.733,4135.481,4061.217,4126.942,15601579400
2023-03-02,4119.992,4137.253,4113.826,4117.738,14821763700
2023-03-03,4126.018,4135.212,4100.383,4130.551,16033174100
2023-03-06,4131.153,4132.837,4088.448,4109.01,16297180700
2023-03-07,4103.642,4124.961,4046.568,4048.852,19591206800
2023-03-08,4030.739,4037.287,4011.523,4034.108,11793649300
2023-03-09,4035.843,4043.849,4000.89,4019.851,11653962900
2023-03-10,3991.796,4004.361,3966.428,3967.135,12385540900
2023-03-13,3962.643,4008.686,3962.643,4008.686,14356137000
2023-03-14,3999.88,4001.942,3946.941,3984.696,15054417400
2023-03-15,4011.844,4018.75,3986.902,3986.902,14202600700
2023-03-16,3958.196,3981.321,3936.476,3939.151,15251564400
2023-03-17,3971.159,4004.215,3945.25,3958.819,17743381800
2023-03-20,3962.663,3979.549,3935.016,3939.077,20526497000
2023-03-21,3948.157,3982.705,3948.157,3982.378,14509067900
2023-03-22,3993.785,4016.45,3986.709,3999.443,14922897000
2023-03-23,3985.993,4039.09,3983.999,4039.09,15888742100
2023-03-24,4035.156,4037.842,4017.003,4027.046,15944233000
2023-03-27,4023.303,4023.303,3987.03,4012.477,16848227900
2023-03-28,4015.697,4023.783,3994.6,3999.515,13189511700
2023-03-29,4013.593,4017.757,3992.666,4006.144,13374351000
2023-03-30,4009.557,4040.502,3983.896,4038.526,14990103700
2023-03-31,4045.454,4063.568,4039.959,4050.926,13884254600
2023-04-03,4059.623,4094.938,4059.061,4090.568,18212431300
2023-04-04,4089.293,4103.158,4080.068,4103.105,19714663100
2023-04-06,4084.132,4098.833,4078.405,4096.64,15070337400
2023-04-07,4096.901,4131.313,4092.185,4123.28,12867673800
2023-04-10,4132.01,4132.295,4099.052,4104.812,15245300200
2023-04-11,4108.506,4116.125,4083.495,4100.148,15390133300
2023-04-12,4102.397,4108.245,4090.278,4097.288,16596527800
2023-04-13,4081.387,4088.881,4059.574,4068.979,15644429500
2023-04-14,4078.97,4098.215,4075.205,4091.999,15069568200
2023-04-17,4090.072,4149.384,4089.509,4149.384,18877309500
2023-04-18,4139.309,4169.668,4138.462,4162.032,17018413000
2023-04-19,4159.394,4159.394,4118.626,4124.559,16255459200
2023-04-20,4122.946,4125.823,4094.002,4113.019,16270667700
2023-04-21,4114.264,4114.264,4031.912,4032.567,18080243500
2023-04-24,4031.303,4033.637,3967.907,3982.643,17009921700
2023-04-25,3985.106,3991.687,3925.436,3962.666,17255540900
2023-04-26,3950.255,3975.656,3934.663,3959.232,16270200600
2023-04-27,3948.031,3999.13,3942.815,3988.419,15382819500
2023-04-28,3993.256,4030.447,3993.256,4029.086,17950848800
2023-05-04,4013.471,4035.783,4001.126,4030.247,22758284600
2023-05-05,4031.095,4047.602,3998.392,4016.877,20662692400
2023-05-08,4028.106,4070.772,4018.961,4062.662,25558308500
2023-05-09,4065.439,4092.85,4026.389,4027.875,27930604800
2023-05-10,4017.936,4019.059,3984.629,3996.87,20755270900
2023-05-11,4005.782,4018.058,3988.482,3990.664,14480461900
2023-05-12,3987.769,3999.383,3937.527,3937.762,14442172800
2023-05-15,3938.83,3998.887,3923.032,3998.887,17625736200
2023-05-16,4002.524,4005.015,3966.992,3978.205,13683327100
2023-05-17,3971.702,3982.604,3945.714,3960.165,11844818500
2023-05-18,3965.516,3982.718,3939.553,3956.07,13653394700
2023-05-19,3946.222,3967.282,3928.316,3944.54,12021247900
2023-05-22,3941.002,3985.403,3935.802,3969.328,10911660500
2023-05-23,3968.235,3971.939,3913.188,3913.188,11868507700
2023-05-24,3903.782,3903.782,3859.094,3859.094,13725826500
2023-05-25,3851.405,3861.382,3817.837,3850.5,12415077000
2023-05-26,3848.417,3859.629,3815.57,3850.951,10032643900
2023-05-29,3862.084,3866.724,3819.182,3833.942,13185996700
2023-05-30,3827.792,3844.005,3789.274,3837.753,13761962900
2023-05-31,3827.163,3827.163,3781.403,3798.543,12638736800
2023-06-01,3788.59,3832.205,3786.734,3806.868,13456188100
2023-06-02,3821.62,3865.284,3821.62,3861.834,12501511000
2023-06-05,3860.556,3860.556,3832.458,3844.249,11616398900
2023-06-06,3840.459,3867.845,3802.845,3808.163,12578125800
2023-06-07,3815.482,3823.112,3780.102,3789.342,9886243200
2023-06-08,3791.083,3834.389,3777.775,3820.187,11870093400
2023-06-09,3822.409,3836.703,3811.219,3836.703,13431986300
2023-06-12,3827.325,3859.716,3813.858,3844.432,12675854300
2023-06-13,3838.129,3867.303,3833.46,3864.907,11092494600
2023-06-14,3872.716,3891.666,3862.061,3864.025,12495575900
2023-06-15,3871.775,3925.499,3871.775,3925.499,12836993800
2023-06-16,3932.211,3968.013,3928.542,3963.351,13976007600
2023-06-19,3957.033,3957.033,3922.474,3930.908,13490584800
2023-06-20,3926.094,3937.495,3918.473,3924.238,12252031800
2023-06-21,3909.104,3920.128,3864.032,3864.032,11834657500
2023-06-26,3833.444,3841.286,3801.054,3809.696,13399041900
2023-06-27,3811.687,3851.896,3806.324,3845.433,11699268100
2023-06-28,3836.609,3846.852,3808.161,3840.799,10702154100
2023-06-29,3836.731,3840.713,3817.376,3821.844,9828927400
2023-06-30,3816.335,3860.031,3813.552,3842.452,10126842900
2023-07-03,3853.292,3897.327,3853.292,3892.882,13315805100
2023-07-04,3888.033,3899.976,3878.398,3899.013,10949452700
2023-07-05,3895.195,3899.519,3864.13,3868.805,9763638400
2023-07-06,3857.03,3876.89,3836.457,3842.755,10012184200
2023-07-07,3831.596,3844.844,3819.077,3825.699,10090692000
2023-07-10,3841.559,3865.457,3831.92,3844.327,9203344100
2023-07-11,3853.796,3870.655,3844.524,3869.486,8651071600
2023-07-12,3864.601,3874.04,3838.563,3843.437,11152202400
2023-07-13,3855.662,3901.102,3855.662,3898.423,12030023200
2023-07-14,3904.603,3908.487,3893.786,3899.103,12236484600
2023-07-17,3881.623,3881.623,3852.263,3867.175,9834014400
2023-07-18,3871.044,3871.044,3844.513,3854.939,9143861500
2023-07-19,3848.483,3860.009,3830.407,3850.866,7958570000
2023-07-20,3857.773,3875.624,3818.713,3823.695,9204207600
2023-07-21,3816.984,3849.511,3808.803,3821.91,7950756300
2023-07-24,3803.349,3828.785,3798.805,3805.221,7548354500
2023-07-25,3866.645,3915.815,3866.645,3915.115,16306632000
2023-07-26,3908.174,3912.983,3893.399,3907.013,10788171700
2023-07-27,3914.23,3935.358,3894.692,3902.346,11066710900
2023-07-28,3889.793,4000.919,3886.554,3992.738,17973548100
2023-07-31,4018.89,4064.362,4002.078,4014.63,19960683000
2023-08-01,4009.183,4031.701,3983.027,3998.001,14228685900
2023-08-02,3985.695,4008.334,3958.513,3969.895,12585569000
2023-08-03,3962.13,4005.0,3962.13,4004.984,12900664000
2023-08-04,4033.724,4058.243,4011.62,4020.579,17826718900
2023-08-07,4002.968,4002.968,3977.017,3990.153,12131066200
2023-08-08,3980.042,4002.29,3963.463,3979.732,10987169900
2023-08-09,3967.357,3982.109,3961.843,3967.565,9464026900
2023-08-10,3962.857,3976.464,3945.387,3975.717,9717684900
2023-08-11,3977.983,3977.983,3884.254,3884.254,12608293100
2023-08-14,3840.887,3859.472,3814.071,3855.906,11596633600
2023-08-15,3858.366,3865.284,3811.684,3846.536,10309711100
2023-08-16,3830.827,3852.42,3817.632,3818.334,9461694600
2023-08-17,3801.197,3836.151,3782.497,3831.101,9841549300
2023-08-18,3832.455,3844.195,3784.004,3784.004,9554963800
2023-08-21,3773.225,3782.111,3729.555,3729.555,9870836900
2023-08-22,3748.068,3770.056,3704.679,3758.227,12031832700
2023-08-23,3751.774,3756.166,3695.031,3696.634,9708163800
2023-08-24,3711.54,3748.857,3701.572,3723.429,11961452100
2023-08-25,3703.514,3734.219,3695.844,3709.152,10518261000
2023-08-28,3911.549,3911.549,3740.528,3752.619,19799037900
2023-08-29,3743.053,3810.377,3742.076,3790.107,15248614600
2023-08-30,3803.119,3813.703,3780.241,3788.51,12967166100
2023-08-31,3786.926,3793.997,3762.005,3765.268,11896164600
2023-09-01,3778.913,3808.531,3778.913,3791.491,10531904500
2023-09-04,3812.987,3854.261,3804.589,3848.952,14238520100
2023-09-05,3839.578,3839.578,3814.334,3820.317,10405233300
2023-09-06,3808.1,3817.524,3790.895,3812.028,9344239300
2023-09-07,3802.227,3802.227,3756.853,3758.475,9510390300
2023-09-08,3747.651,3753.263,3724.987,3739.993,7163816600
2023-09-11,3740.585,3788.322,3734.723,3767.537,10535801600
2023-09-12,3764.333,3775.093,3755.416,3760.605,7938537800
2023-09-13,3759.609,3768.816,3719.111,3736.651,8157690100
2023-09-14,3736.936,3748.818,3717.311,3733.508,10038607500
2023-09-15,3740.785,3749.025,3699.381,3708.777,10939568900
2023-09-18,3698.934,3737.531,3691.111,3727.711,8672774100
2023-09-19,3723.424,3724.072,3702.693,3720.502,8319903800
2023-09-20,3715.958,3718.521,3705.127,3705.69,7544820900
2023-09-21,3698.313,3708.456,3672.445,3672.445,8303100500
2023-09-22,3672.64,3740.418,3664.766,3738.933,11023116600
2023-09-25,3738.062,3738.062,3711.205,3714.604,9259647900
2023-09-26,3711.711,3723.848,3692.617,3692.893,7804452500
2023-09-27,3694.961,3731.141,3694.394,3700.495,9162921000
2023-09-28,3711.212,3716.057,3685.3,3689.517,8522171900
2023-10-09,3678.929,3694.171,3641.997,3684.727,10214805800
2023-10-10,3696.254,3701.256,3655.589,3657.126,9916373000
2023-10-11,3674.751,3689.535,3658.355,3667.548,10209158700
2023-10-12,3697.934,3711.499,3682.842,3702.382,11436322500
2023-10-13,3677.959,3678.191,3652.309,3663.41,9828798700
2023-10-16,3664.039,3664.039,3615.769,3626.597,9185311800
2023-10-17,3635.299,3645.565,3619.128,3639.402,9074518800
2023-10-18,3631.067,3632.058,3608.977,3610.577,9454587900
2023-10-19,3588.515,3588.515,3532.306,3533.545,11173752000
2023-10-20,3518.346,3535.662,3501.725,3510.589,9851860500
2023-10-23,3500.199,3505.347,3450.646,3474.244,9656165200
2023-10-24,3481.764,3495.004,3453.102,3487.13,11554728900
2023-10-25,3524.297,3531.831,3500.915,3504.458,12800961700
2023-10-26,3484.781,3515.572,3478.05,3514.145,10514356600
2023-10-27,3501.171,3576.586,3494.549,3562.385,12022510800
2023-10-30,3554.106,3592.719,3554.024,3583.772,14401042600
2023-10-31,3581.676,3581.676,3554.582,3572.506,11258726700
2023-11-01,3605.758,3606.413,3564.642,3571.027,9764553800
2023-11-02,3580.067,3597.17,3553.741,3554.189,9035964300
2023-11-03,3558.53,3596.101,3558.53,3584.136,9754210100
2023-11-06,3608.319,3635.79,3600.63,3632.608,15298246300
2023-11-07,3623.785,3628.462,3606.298,3619.759,11028859100
2023-11-08,3610.643,3627.048,3591.825,3611.072,11059423000
2023-11-09,3603.108,3624.414,3601.374,3612.826,11187205700
2023-11-10,3596.069,3599.452,3576.101,3586.489,10210703400
2023-11-13,3593.911,3599.39,3562.768,3579.414,9670764900
2023-11-14,3581.103,3600.148,3568.882,3582.058,10088415800
2023-11-15,3616.877,3620.601,3596.916,3607.245,10492921800
2023-11-16,3600.981,3605.29,3572.364,3572.364,8746478000
2023-11-17,3561.311,3573.682,3547.029,3568.069,8731920700
2023-11-20,3569.731,3586.973,3545.104,3576.323,9108044500
2023-11-21,3587.878,3615.057,3575.682,3581.067,10859431400
2023-11-22,3569.439,3574.378,3544.416,3544.416,8478438100
2023-11-23,3541.442,3562.068,3529.939,3561.52,8480016700
2023-11-24,3560.646,3560.646,3533.996,3538.009,8501840300
2023-11-27,3534.445,3534.445,3492.862,3511.942,9910231400
2023-11-28,3510.655,3521.046,3501.109,3518.523,8933578900
2023-11-29,3518.884,3519.198,3482.244,3488.307,9884141200
2023-11-30,3485.517,3505.127,3481.452,3496.203,10135082000
2023-12-01,3494.223,3494.223,3452.173,3482.881,10853094100
2023-12-04,3481.045,3488.133,3459.611,3460.138,9715682600
2023-12-05,3450.09,3450.09,3393.814,3394.257,10047200700
